"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts"
380706,"Regular astigmatism",15376606,31135731,3,"Regular astigmatism, bilateral | 
Regular astigmatism, right eye | 
Regular astigmatism, left eye"
376415,"Hypermetropia",14208489,30319530,3,"Hypermetropia, bilateral | 
Hypermetropia, right eye | 
Hypermetropia, left eye"
435262,"Primary open angle glaucoma",6158510,29662331,16,"Primary open-angle glaucoma, bilateral, mild stage | 
Primary open-angle glaucoma, bilateral, moderate stage | 
Primary open-angle glaucoma, bilateral, severe stage | 
Primary open-angle glaucoma, left eye, moderate stage | 
Primary open-angle glaucoma, right eye, mild stage | 
Primary open-angle glaucoma, right eye, moderate stage | 
Primary open-angle glaucoma, left eye, mild stage | 
Primary open-angle glaucoma, left eye, severe stage | 
Primary open-angle glaucoma, right eye, severe stage | 
Primary open-angle glaucoma, bilateral, indeterminate stage | 
Primary open-angle glaucoma, bilateral, stage unspecified | 
Primary open-angle glaucoma, right eye, stage unspecified | 
Primary open-angle glaucoma, left eye, indeterminate stage | 
Primary open-angle glaucoma, right eye, indeterminate stage | 
Primary open-angle glaucoma, left eye, stage unspecified | 
Primary open-angle glaucoma, bilateral"
4001450,"Lumbago with sciatica",5951153,28155358,2,"Lumbago with sciatica, right side | 
Lumbago with sciatica, left side"
43530742,"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident",3083337,26489254,24,"Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side | 
Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side | 
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side | 
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side | 
Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side | 
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side | 
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side | 
Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side | 
Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side | 
Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side | 
Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side | 
Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side | 
Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side | 
Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side | 
Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side | 
Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side | 
Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side | 
Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side | 
Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side | 
Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side | 
Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side | 
Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side | 
Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side | 
Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side"
374375,"Impacted cerumen",12711505,26225780,3,"Impacted cerumen, bilateral | 
Impacted cerumen, right ear | 
Impacted cerumen, left ear"
42537748,"Acquired absence of organ",1770710,26148080,32,"Acquired absence of right leg below knee | 
Acquired absence of left leg below knee | 
Acquired absence of right leg above knee | 
Acquired absence of left leg above knee | 
Acquired absence of other right toe(s) | 
Acquired absence of other left toe(s) | 
Acquired absence of right great toe | 
Acquired absence of left great toe | 
Acquired absence of right foot | 
Acquired absence of left foot | 
Acquired absence of right finger(s) | 
Acquired absence of left finger(s) | 
Acquired absence of right knee | 
Acquired absence of left knee | 
Acquired absence of right hip joint | 
Acquired absence of left hip joint | 
Acquired absence of left upper limb, unspecified level | 
Acquired absence of right upper limb below elbow | 
Acquired absence of left upper limb below elbow | 
Acquired absence of right upper limb, unspecified level | 
Acquired absence of left upper limb above elbow | 
Acquired absence of right upper limb above elbow | 
Acquired absence of right thumb | 
Acquired absence of left thumb | 
Acquired absence of right hand | 
Acquired absence of left hand | 
Acquired absence of right shoulder | 
Acquired absence of left shoulder | 
Acquired absence of left ankle | 
Acquired absence of right ankle | 
Acquired absence of right wrist | 
Acquired absence of left wrist"
376400,"Combined form of senile cataract",9271511,25542192,3,"Combined forms of age-related cataract, bilateral | 
Combined forms of age-related cataract, left eye | 
Combined forms of age-related cataract, right eye"
4079749,"Osteoarthritis of hip",4993871,24674129,3,"Unilateral primary osteoarthritis, right hip | 
Unilateral primary osteoarthritis, left hip | 
Other bilateral secondary osteoarthritis of hip"
320420,"Vitreous degeneration",8995908,24007150,3,"Vitreous degeneration, bilateral | 
Vitreous degeneration, right eye | 
Vitreous degeneration, left eye"
73840,"Localized, primary osteoarthritis of the shoulder region",6229824,23423320,2,"Primary osteoarthritis, right shoulder | 
Primary osteoarthritis, left shoulder"
35624213,"Secondary cataract",7488363,22521620,3,"Other secondary cataract, bilateral | 
Other secondary cataract, right eye | 
Other secondary cataract, left eye"
4162253,"Primary malignant neoplasm of breast",1763453,20596255,6,"Malignant neoplasm of unspecified site of left female breast | 
Malignant neoplasm of unspecified site of right female breast | 
Malignant neoplasm of unspecified site of left male breast | 
Malignant neoplasm of unspecified site of right male breast | 
Malignant neoplasm of central portion of left male breast | 
Malignant neoplasm of central portion of right male breast"
4172970,"Nontraumatic rotator cuff tear",4527560,19960716,6,"Complete rotator cuff tear or rupture of right shoulder, not specified as traumatic | 
Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic | 
Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic | 
Complete rotator cuff tear or rupture of left shoulder, not specified as traumatic | 
Incomplete rotator cuff tear or rupture of right shoulder, not specified as traumatic | 
Incomplete rotator cuff tear or rupture of left shoulder, not specified as traumatic"
372629,"Nonexudative age-related macular degeneration",6183901,19863408,18,"Nonexudative age-related macular degeneration, bilateral, early dry stage | 
Nonexudative age-related macular degeneration, bilateral, intermediate dry stage | 
Nonexudative age-related macular degeneration, left eye, intermediate dry stage | 
Nonexudative age-related macular degeneration, right eye, intermediate dry stage | 
Nonexudative age-related macular degeneration, right eye, early dry stage | 
Nonexudative age-related macular degeneration, bilateral, stage unspecified | 
Nonexudative age-related macular degeneration, left eye, early dry stage | 
Nonexudative age-related macular degeneration, bilateral, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, bilateral, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, stage unspecified | 
Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, left eye, stage unspecified | 
Nonexudative age-related macular degeneration, right eye | 
Nonexudative age-related macular degeneration, left eye | 
Nonexudative age-related macular degeneration, bilateral"
376966,"Exudative age-related macular degeneration",2274664,19830519,15,"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with active choroidal neovascularization | 
Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization | 
Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with inactive scar | 
Exudative age-related macular degeneration, right eye, with inactive scar | 
Exudative age-related macular degeneration, bilateral, stage unspecified | 
Exudative age-related macular degeneration, right eye, stage unspecified | 
Exudative age-related macular degeneration, left eye, stage unspecified | 
Exudative age-related macular degeneration, bilateral, with inactive scar | 
Exudative age-related macular degeneration, left eye | 
Exudative age-related macular degeneration, right eye | 
Exudative age-related macular degeneration, bilateral"
4288310,"Carotid artery obstruction",5444297,18996965,1,"Occlusion and stenosis of bilateral carotid arteries"
372328,"Otitis media",10719259,18962478,5,"Otitis media, unspecified, right ear | 
Otitis media, unspecified, left ear | 
Otitis media in diseases classified elsewhere, right ear | 
Otitis media in diseases classified elsewhere, bilateral | 
Otitis media in diseases classified elsewhere, left ear"
4115367,"Wrist joint pain",6792645,18895868,2,"Pain in right wrist | 
Pain in left wrist"
604749,"Open angle glaucoma suspect",5520022,17448244,6,"Open angle with borderline findings, low risk, bilateral | 
Open angle with borderline findings, high risk, bilateral | 
Open angle with borderline findings, low risk, right eye | 
Open angle with borderline findings, low risk, left eye | 
Open angle with borderline findings, high risk, right eye | 
Open angle with borderline findings, high risk, left eye"
37109843,"Absence of lower limb",780460,17396210,10,"Acquired absence of right leg below knee | 
Acquired absence of left leg below knee | 
Acquired absence of right leg above knee | 
Acquired absence of left leg above knee | 
Acquired absence of right knee | 
Acquired absence of left knee | 
Acquired absence of right hip joint | 
Acquired absence of left hip joint | 
Acquired absence of left ankle | 
Acquired absence of right ankle"
372409,"Sciatica",3776067,16222080,2,"Sciatica, right side | 
Sciatica, left side"
433577,"Hammer toe",4851200,16101670,2,"Other hammer toe(s) (acquired), right foot | 
Other hammer toe(s) (acquired), left foot"
46269757,"Chronic ulcer of skin of lower leg",3088575,15888073,18,"Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed | 
Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed | 
Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity | 
Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity | 
Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin | 
Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin | 
Non-pressure chronic ulcer of other part of left lower leg with unspecified severity | 
Non-pressure chronic ulcer of other part of right lower leg with unspecified severity | 
Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed | 
Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin | 
Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed | 
Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin | 
Non-pressure chronic ulcer of right thigh limited to breakdown of skin | 
Non-pressure chronic ulcer of left thigh limited to breakdown of skin | 
Non-pressure chronic ulcer of other part of right lower leg | 
Non-pressure chronic ulcer of other part of left lower leg | 
Non-pressure chronic ulcer of unspecified part of right lower leg | 
Non-pressure chronic ulcer of unspecified part of left lower leg"
4092216,"Malignant neoplasm of upper lobe of lung",729323,15540153,2,"Malignant neoplasm of upper lobe, right bronchus or lung | 
Malignant neoplasm of upper lobe, left bronchus or lung"
4187850,"Primary malignant neoplasm of upper outer quadrant of breast",756223,15299700,4,"Malignant neoplasm of upper-outer quadrant of left female breast | 
Malignant neoplasm of upper-outer quadrant of right female breast | 
Malignant neoplasm of upper-outer quadrant of left male breast | 
Malignant neoplasm of upper-outer quadrant of right male breast"
379010,"Epiretinal membrane",4214959,15078116,3,"Puckering of macula, bilateral | 
Puckering of macula, left eye | 
Puckering of macula, right eye"
375281,"Acute suppurative otitis media without spontaneous rupture of ear drum",8760374,14427112,6,"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear | 
Acute suppurative otitis media without spontaneous rupture of ear drum, left ear | 
Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral | 
Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral | 
Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear | 
Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear"
4344500,"Impingement syndrome of shoulder region",2815581,13569140,2,"Impingement syndrome of right shoulder | 
Impingement syndrome of left shoulder"
4297894,"Greater trochanteric pain syndrome",3080874,12294330,2,"Trochanteric bursitis, right hip | 
Trochanteric bursitis, left hip"
197304,"Ulcer of lower extremity",931666,12188899,60,"Chronic venous hypertension (idiopathic) with ulcer of left lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer of right lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer of bilateral lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity | 
Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg | 
Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg | 
Atherosclerosis of native arteries of right leg with ulceration of unspecified site | 
Atherosclerosis of native arteries of left leg with ulceration of unspecified site | 
Postthrombotic syndrome with ulcer of left lower extremity | 
Postthrombotic syndrome with ulcer of right lower extremity | 
Postthrombotic syndrome with ulcer and inflammation of left lower extremity | 
Postthrombotic syndrome with ulcer of bilateral lower extremity | 
Postthrombotic syndrome with ulcer and inflammation of right lower extremity | 
Postthrombotic syndrome with ulcer and inflammation of bilateral lower extremity | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot | 
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg | 
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg | 
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf | 
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf | 
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle | 
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg | 
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf | 
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site | 
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site | 
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg | 
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg | 
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg | 
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg | 
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf | 
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf | 
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf | 
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site | 
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site | 
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg | 
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf | 
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg | 
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf | 
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site | 
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf | 
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site | 
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site | 
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site | 
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration | 
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration | 
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration | 
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration | 
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration | 
Atherosclerosis of native arteries of left leg with ulceration | 
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration | 
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration | 
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration | 
Atherosclerosis of native arteries of right leg with ulceration | 
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration | 
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration"
4115991,"Knee joint effusion",4821553,12150613,2,"Effusion, right knee | 
Effusion, left knee"
44782715,"Chronic peripheral venous hypertension with lower extremity complication",1096290,12071322,12,"Chronic venous hypertension (idiopathic) with ulcer of left lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer of right lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer of bilateral lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity | 
Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity | 
Chronic venous hypertension (idiopathic) with inflammation of bilateral lower extremity | 
Chronic venous hypertension (idiopathic) with other complications of bilateral lower extremity | 
Chronic venous hypertension (idiopathic) with inflammation of left lower extremity | 
Chronic venous hypertension (idiopathic) with inflammation of right lower extremity | 
Chronic venous hypertension (idiopathic) with other complications of left lower extremity | 
Chronic venous hypertension (idiopathic) with other complications of right lower extremity"
434500,"Closed fracture of neck of femur",2190256,11912977,10,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture | 
Fracture of unspecified part of neck of left femur, initial encounter for closed fracture | 
Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing | 
Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with routine healing | 
Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with nonunion | 
Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with nonunion | 
Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing | 
Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with delayed healing | 
Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with malunion | 
Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion"
81151,"Sprain of ankle",5379302,11839427,16,"Sprain of unspecified ligament of right ankle, initial encounter | 
Sprain of unspecified ligament of left ankle, initial encounter | 
Sprain of other ligament of right ankle, initial encounter | 
Sprain of other ligament of left ankle, initial encounter | 
Sprain of unspecified ligament of right ankle, subsequent encounter | 
Sprain of unspecified ligament of left ankle, subsequent encounter | 
Sprain of other ligament of left ankle, subsequent encounter | 
Sprain of other ligament of right ankle, subsequent encounter | 
Sprain of tibiofibular ligament of right ankle, initial encounter | 
Sprain of tibiofibular ligament of left ankle, initial encounter | 
Sprain of tibiofibular ligament of right ankle, subsequent encounter | 
Sprain of tibiofibular ligament of left ankle, subsequent encounter | 
Sprain of unspecified ligament of right ankle | 
Sprain of unspecified ligament of left ankle | 
Sprain of other ligament of right ankle | 
Sprain of other ligament of left ankle"
4317977,"Bilateral cataracts",2630112,11470317,3,"Other secondary cataract, bilateral | 
Combined forms of infantile and juvenile cataract, bilateral | 
Unspecified traumatic cataract, bilateral"
78505,"Localized, primary osteoarthritis of the ankle and/or foot",4290914,10993315,2,"Primary osteoarthritis, right ankle and foot | 
Primary osteoarthritis, left ankle and foot"
437116,"Closed fracture of distal end of radius",3513187,10526291,32,"Unspecified fracture of the lower end of left radius, initial encounter for closed fracture | 
Unspecified fracture of the lower end of right radius, initial encounter for closed fracture | 
Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with routine healing | 
Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with routine healing | 
Other intraarticular fracture of lower end of left radius, initial encounter for closed fracture | 
Other intraarticular fracture of lower end of right radius, initial encounter for closed fracture | 
Other fractures of lower end of left radius, initial encounter for closed fracture | 
Other intraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with routine healing | 
Other fractures of lower end of right radius, initial encounter for closed fracture | 
Other intraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with routine healing | 
Other fractures of lower end of left radius, subsequent encounter for closed fracture with routine healing | 
Other fractures of lower end of right radius, subsequent encounter for closed fracture with routine healing | 
Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with malunion | 
Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with malunion | 
Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with delayed healing | 
Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with delayed healing | 
Other intraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with malunion | 
Other intraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with malunion | 
Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with nonunion | 
Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with nonunion | 
Other fractures of lower end of left radius, subsequent encounter for closed fracture with malunion | 
Other intraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with delayed healing | 
Other fractures of lower end of right radius, subsequent encounter for closed fracture with malunion | 
Other intraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with delayed healing | 
Other fractures of lower end of left radius, subsequent encounter for closed fracture with delayed healing | 
Other fractures of lower end of right radius, subsequent encounter for closed fracture with delayed healing | 
Other intraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with nonunion | 
Other intraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with nonunion | 
Other fractures of lower end of left radius, subsequent encounter for closed fracture with nonunion | 
Other fractures of lower end of right radius, subsequent encounter for closed fracture with nonunion | 
Other extraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with delayed healing | 
Other extraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with delayed healing"
4116166,"Elbow joint pain",3939548,10402873,2,"Pain in right elbow | 
Pain in left elbow"
72711,"Shoulder stiff",1069070,9882019,2,"Stiffness of right shoulder, not elsewhere classified | 
Stiffness of left shoulder, not elsewhere classified"
75911,"Acquired hallux valgus",3296947,9624357,2,"Hallux valgus (acquired), right foot | 
Hallux valgus (acquired), left foot"
4093672,"Knee stiff",1061341,9541597,2,"Stiffness of right knee, not elsewhere classified | 
Stiffness of left knee, not elsewhere classified"
